Method,Sample_Size,TP,FP
GES_ESS1,200,1.6,14.2
GES_ESS1,500,2.3,7.7
GES_ESS1,1000,2.7,6.7
GES_ESS1,2000,4.5,7.0
GES_ESS1,5000,8.6,10.5
GES_ESS1,10000,13.3,12.3
GES_ESS10,200,5.9,36.8
GES_ESS10,500,6.7,28.5
GES_ESS10,1000,7.3,24.2
GES_ESS10,2000,8.0,20.3
GES_ESS10,5000,11.7,17.5
GES_ESS10,10000,16.2,15.3
HC_BDeu_ESS1,200,1.6,14.4
HC_BDeu_ESS1,500,2.4,7.6
HC_BDeu_ESS1,1000,2.9,6.3
HC_BDeu_ESS1,2000,4.0,7.9
HC_BDeu_ESS1,5000,8.3,10.3
HC_BDeu_ESS1,10000,12.9,13.2
HC_BDeu_ESS10,200,6.5,35.9
HC_BDeu_ESS10,500,6.4,28.9
HC_BDeu_ESS10,1000,7.6,24.5
HC_BDeu_ESS10,2000,7.3,20.8
HC_BDeu_ESS10,5000,11.3,17.8
HC_BDeu_ESS10,10000,15.8,15.8
PC,200,0.0,0.4
PC,500,1.1,1.8
PC,1000,1.4,2.6
PC,2000,2.9,2.7
PC,5000,3.9,2.8
PC,10000,4.6,1.7
hierarchy_ESS1,200,2.0,12.3
hierarchy_ESS1,500,3.6,5.6
hierarchy_ESS1,1000,4.5,4.1
hierarchy_ESS1,2000,7.2,2.8
hierarchy_ESS1,5000,13.8,2.8
hierarchy_ESS1,10000,20.1,1.8
hierarchy_ESS10,200,8.5,31.5
hierarchy_ESS10,500,8.9,22.5
hierarchy_ESS10,1000,10.1,16.6
hierarchy_ESS10,2000,12.3,10.1
hierarchy_ESS10,5000,19.6,5.9
hierarchy_ESS10,10000,24.5,4.2
hierarchy_mono_before_ESS1,200,2.3,2.7
hierarchy_mono_before_ESS1,500,3.7,1.9
hierarchy_mono_before_ESS1,1000,4.4,2.0
hierarchy_mono_before_ESS1,2000,7.4,2.1
hierarchy_mono_before_ESS1,5000,14.1,2.3
hierarchy_mono_before_ESS1,10000,19.9,1.9
hierarchy_mono_before_ESS10,200,7.8,19.1
hierarchy_mono_before_ESS10,500,8.8,15.1
hierarchy_mono_before_ESS10,1000,10.3,11.0
hierarchy_mono_before_ESS10,2000,13.2,6.5
hierarchy_mono_before_ESS10,5000,19.4,4.8
hierarchy_mono_before_ESS10,10000,24.7,3.5
