Metric,Sample_Size,Beta,Value
TP,200,10.0,8.0
TP,200,30.0,8.0
TP,200,50.0,8.0
TP,200,70.0,7.9
TP,200,100.0,7.9
TP,200,200.0,7.8
TP,200,500.0,7.8
TP,200,1000.0,7.8
TP,500,10.0,8.8
TP,500,30.0,8.8
TP,500,50.0,8.8
TP,500,70.0,8.8
TP,500,100.0,8.8
TP,500,200.0,8.8
TP,500,500.0,8.8
TP,500,1000.0,8.8
TP,2000,10.0,13.1
TP,2000,30.0,13.2
TP,2000,50.0,13.2
TP,2000,70.0,13.2
TP,2000,100.0,13.2
TP,2000,200.0,13.2
TP,2000,500.0,13.2
TP,2000,1000.0,13.2
TP,5000,10.0,19.4
TP,5000,30.0,19.4
TP,5000,50.0,19.4
TP,5000,70.0,19.4
TP,5000,100.0,19.4
TP,5000,200.0,19.4
TP,5000,500.0,19.4
TP,5000,1000.0,19.4
FP,200,10.0,21.6
FP,200,30.0,20.0
FP,200,50.0,20.0
FP,200,70.0,19.7
FP,200,100.0,19.7
FP,200,200.0,19.4
FP,200,500.0,19.3
FP,200,1000.0,19.3
FP,500,10.0,16.2
FP,500,30.0,15.8
FP,500,50.0,15.5
FP,500,70.0,15.4
FP,500,100.0,15.4
FP,500,200.0,15.4
FP,500,500.0,15.2
FP,500,1000.0,15.1
FP,2000,10.0,7.0
FP,2000,30.0,6.7
FP,2000,50.0,6.5
FP,2000,70.0,6.5
FP,2000,100.0,6.5
FP,2000,200.0,6.5
FP,2000,500.0,6.5
FP,2000,1000.0,6.5
FP,5000,10.0,4.9
FP,5000,30.0,4.9
FP,5000,50.0,4.9
FP,5000,70.0,4.8
FP,5000,100.0,4.8
FP,5000,200.0,4.8
FP,5000,500.0,4.8
FP,5000,1000.0,4.8
